FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AUS,Australia,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1810.7064295701025,1877.707063764237,1854.7461541416224,1967.211273657913,2131.380299828048,2281.110305265672,2343.915918756699,2580.110591646409,2724.1306715174983,2991.4772787668385,3304.9273697574367,3495.2282008844986,3949.461643376061,4770.810172085082,6482.938481034723,7003.842470985819,7486.6826042084,7775.658468671254,8252.734457338374,9294.515782518742,10208.80368449432,11853.6694186454,12779.145916402318,11515.744512104084,12421.880773501673,11441.581970718516,11392.00439484774,11651.33011698213,14284.960791832988,17834.4526910252,18249.301453816865,18859.90745769857,18624.18773358662,17699.8764915704,18129.63530644564,20448.12196858736,22021.783906522804,23646.62304573268,21479.1142020092,20712.66978055637,21870.41596695936,19695.72973791439,20301.843171325632,23718.13385018684,30836.73068246853,34479.76792983877,36595.70715484226,41051.612065228765,49701.281784333456,42816.56740028294,52144.6654705468,62605.60045830601,68072.87323408014,68190.70100356512,62544.08737737261,56739.02653465933,49888.04108427356,53901.71453921545,57196.42207837776,54972.70178854372,51791.54017998405,60607.77886051659,64997.01365364751,64835.9199754535,64407.484256932046
A,Annual,AUT,Austria,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,939.9148146811737,1036.728204360826,1093.0141906156866,1172.5574462617756,1275.457152816794,1381.0772582442146,1494.0491138210596,1577.1414770516878,1685.6621166914788,1834.0780781796027,2050.705153770504,2371.6524795500327,2912.595771115244,3875.483056185512,4612.6192077965625,5264.917720040513,5656.145138378701,6783.951421936655,8173.329263472452,9755.404456257897,10826.971827499465,9348.488323952324,9373.48820626125,9500.050704174944,8955.848291915341,9136.170925596944,13031.8281010744,16328.561304729586,17509.76586838173,17400.52266197414,21596.06821999802,22323.1312492943,24782.71187670633,23987.203724065654,25546.246052508723,30207.0674314652,29645.945125149115,26571.7523626508,27212.464290570828,27078.708161220133,24487.29746859561,24430.495982840985,26334.862215032,32110.115966142475,36614.25065337066,38157.37022862003,40382.20782985749,46622.96229136355,51581.39823610713,47857.44466352659,46611.13934202319,51116.89535220424,48250.40591426372,50305.35457749725,51314.97226163223,43915.22802085699,45061.49939201917,47163.7425775142,51194.07498412994,49885.99473552041,48716.4098900349,53648.719074224544,52176.66491411783,56033.57379206499,56833.196047205325
A,Annual,AZE,Azerbaijan,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.271892748423,734.9442328056881,60.23512054059724,209.53095454842529,157.0635499470717,314.55801908333984,409.185543774103,505.5162041883355,561.9068078718692,573.8935287340307,655.0972495799167,703.6709985846863,763.1088954634868,883.6925807452558,1045.0136328105998,1578.3673303066716,2472.957257322871,3851.330151751412,5574.468104325748,4950.399490094231,5843.5337683582,7189.81869211976,7495.865276580995,7875.345366615495,7890.840280620872,5500.503646284862,3880.685227683798,4147.198142322201,4739.794312340805,4805.753717659173,4229.910649045028,5408.045351750229,7770.594223350996,7133.028380483284,7283.835629548722
A,Annual,BDI,Burundi,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,70.90510003046025,71.601929936627,73.41959797698924,78.37119832341193,85.33372866656849,50.61330400521905,51.41287381712993,54.01814252690888,54.19497826728123,55.05883890294197,68.7543539795049,69.89828175583585,68.23219179099314,84.25810692841584,93.22400483409126,110.8848274900534,115.4921317745228,137.44804438707564,148.8232325129186,186.15227360496212,209.80573666816767,212.23033189706965,216.43619143507,225.2095245082832,200.37571182724065,228.4405425646964,234.28124480998784,215.6083114674828,201.74040081580736,203.57894419244943,202.6294461762974,204.66825839881744,184.86897045644665,165.34412031940272,161.89258426163548,164.9153116793258,143.1567411871586,160.27834204696194,144.45694825553645,127.51419578118988,134.53786175238898,132.15955454193212,120.95230857546832,111.4066828043908,125.19496518453332,147.23461929422513,161.89275564031908,166.16274490675522,189.5020745707677,199.09763303770785,216.7277053019764,230.070577369084,231.68849639356924,234.8430453888283,250.5404811118771,280.9668313119229,235.28620539390823,236.6944725927535,224.89939239264044,210.23649452153177,210.0081399025084,214.09145541613333,250.6342253687444,192.07430535935111,153.93021785402323
A,Annual,BEL,Belgium,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1290.2860721619215,1367.7888522813848,1457.2651699837763,1555.022931825784,1724.0189417905551,1859.5099867163904,1983.131198217775,2113.8219413288766,2251.315759067817,2490.1071730838,2765.890996647944,3082.927988791257,3831.631899994329,4900.962200758661,5733.79813933878,6701.377360524328,7243.047341195831,8426.94695947372,10289.76841732961,11810.61587547254,12864.002566139616,10622.802483078916,9343.86109959618,8846.234298469735,8457.268803163739,8750.818512505355,12170.040696270156,15135.852311696835,16391.09382779102,16525.061743284838,20600.375278982698,21041.660651964783,23372.61917101503,22283.936021355126,24208.554793144656,28413.826438736807,27489.555177048835,24820.93805038961,25338.44329349042,25252.80190665645,23098.88650774014,23015.071263246195,25006.191397109003,30655.209267902366,35429.40779333441,36809.70134036188,38705.10679591471,44319.16544881302,48303.397956285975,44923.34001350815,44197.39367116197,47760.8298776546,44874.17091821225,46964.59467770559,47995.77869613394,40893.804537772005,41854.5498296444,44035.3239358548,47487.21003925607,46716.62274679644,45906.287580524586,51658.23829495799,50822.25185385176,54690.09427349642,55954.61062610176
A,Annual,BEN,Benin,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,89.85692465397152,92.08584812976498,90.77386100774729,95.71673697619728,99.78502460172554,105.1179869389266,107.63721185353202,106.58624185994992,111.2114941754453,110.31479474821208,108.8487794825474,106.88929274206666,127.92715701433086,153.60946813570314,164.94659414291624,196.4557860193378,197.7263611425406,207.01296224739616,249.80292618053835,310.65138708435217,358.003054209903,319.718185970269,305.0040635075001,255.98360156072604,238.5744573553812,230.4341172189133,285.7715510644238,324.25376516619065,326.1797577003029,293.3219495509531,371.1016043323565,364.68929601664473,301.77329696287023,387.3100548131224,262.12980744507377,348.43523891439366,369.3943841357358,344.55049149896274,361.601983057505,525.1305972459742,487.4241413842425,492.401499509072,546.4638296581587,676.0028780842815,758.6958037863709,779.4377777532677,809.1470725062209,912.3382471883424,1060.6025450209872,1024.1027785811184,973.2442549315264,1059.413588525885,1071.5258366282956,1168.926992792259,1204.39918670094,1002.4188687961384,1010.533896199298,1054.9740806681434,1151.7409703472013,1130.8213533979497,1200.1942663112247,1318.6515810748658,1266.4271098115887,1394.1778466304495,1485.380189808941
A,Annual,BFA,Burkina Faso,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,69.15024560876152,72.24237870624616,77.15292792881755,78.90877367120731,80.91478877185823,82.07461599246471,82.83606648642431,84.6272011419546,84.97378483922873,86.75553957252241,81.70756321974198,84.51493756764467,99.63358149338131,114.13766947351476,124.6714355032546,152.9015296067471,155.4854227406588,175.96386445428405,223.8791119711629,258.50172903484486,277.5975313701814,248.7079739088918,239.01948356933923,211.9257405421964,187.83222427839056,194.0632262992441,247.45913463710443,280.2180922265917,301.12921466383284,293.1887037271466,338.5937590551277,333.70605512636047,348.59244389454653,324.1115767074349,187.21142372606047,229.0922944968165,242.7331713526718,223.8539585256109,249.53173292492988,292.83695869731304,248.90852692175216,259.485223380436,285.6540876375328,362.3738999969534,403.8128374346103,441.16414801601206,455.5136556200242,514.6844511772381,619.4375332562643,601.5695206718585,624.9572522247657,725.0247677254749,731.470138867833,759.7620651684981,764.8616751062254,630.124750752312,663.7423648428855,709.0915358946953,777.465618514048,764.8530777749462,825.2370387824751,895.5352884429909,836.1183045936821,882.6898100861632,987.3213781018673
A,Annual,BGD,Bangladesh,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,82.48127741163545,90.36857862942482,92.58942117693144,94.14237429678488,92.57829779383889,98.6041470420746,104.42205467885964,114.20988169610936,114.41496747037536,125.88031169819811,130.21816084495458,124.5339630991515,87.773765191476,109.69172675691158,164.98639360281368,249.8042540160217,126.6930442044365,117.88777137922423,158.3242551522848,181.13070670313525,206.0757143121552,224.2413923911916,199.59594464685145,184.70677287458983,193.43502097623792,222.22018039633977,212.14899385306035,231.49958452048344,247.9014659673321,263.0057208275472,283.0537370552336,272.0649484958778,273.4650725202716,280.75727445036586,280.6030317912161,309.4586808233672,371.9179376773447,379.2849177096349,385.6168817527958,388.09568426823495,396.6707302497512,394.6564100189103,393.88642232762766,426.7488075436204,455.6140169097983,480.0858507545197,490.3880265332894,537.9554927929107,613.0620410412401,679.2114774280559,757.3852803615082,837.3369446956473,859.6805363754974,958.2629897982828,1094.461997028377,1224.3864766816523,1649.2838085860055,1811.0822166864589,1965.243727314668,2129.7989695460574,2248.850788282327,2482.849178433572,2716.485927804312,2551.017738273069,2593.416073904071
A,Annual,BGR,Bulgaria,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,2238.802957865739,2234.814815731252,2169.0040108968287,1852.8134344280188,1963.5726761827364,1914.5506465879344,2260.427281154497,3132.30136036246,2511.393062594886,2477.020817959598,2366.5298212861385,883.7365783193251,1007.3445454488082,1278.5251137031862,1149.894640087343,2259.2592255522086,1470.1925925068228,1361.409384398837,1820.448664499423,1660.9089125392957,1621.2621073899163,1770.9070491869052,2092.982886255581,2719.4943685928665,3389.6874336027363,3899.825963328784,4523.146557880496,5888.570814039323,7271.3033885802515,6988.273162964647,6853.948055111706,7849.580613028177,7431.957895088705,7795.980921089284,8069.600056676842,7268.654454738727,7822.499232929683,8696.689304279236,9872.385077891058,10372.804434111376,10769.947569941432,12972.217335600228,13999.67191972892,15883.861854558112,17412.4115085691
A,Annual,BHR,Bahrain,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,1741.822454071519,1829.7407054331525,2205.917004376998,2981.092531349763,3873.716291075109,3880.440471629269,5310.191326155334,6358.420841954425,6925.988932074357,7890.829824948736,9732.725871860266,10556.509171873544,10712.152936400911,10598.842715712744,10696.933105520751,9648.656430326737,7776.956577363185,8332.914254060537,8771.7853534009,8833.41134256929,9342.538914016885,10434.132396278646,10460.158322280826,11151.871495741972,11629.35952196117,11900.931777833535,12091.780218823456,12254.666258312822,11625.034376834266,12123.353471536808,14214.48368393432,13573.233988759745,13501.47088014247,14486.026902982188,15963.949317161683,17966.165783762463,19267.28261507196,20908.404254807345,23299.4992780392,19465.31407450379,21819.329109809907,25032.786774333345,26438.67332304283,26989.760114846904,26451.79656474528,23734.05511430191,23800.00144063101,24784.76935146067,26324.40665495586,27259.743859932696,24342.8444554718,27147.80838822855,30470.52192760228,29290.12842150983,30048.217771884392
A,Annual,BHS,"Bahamas, The",WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,1459.2538249590716,1555.0466083743863,1651.2186185022174,1759.236921569108,1883.4438602227603,2029.523413293012,2239.2396399653912,2452.747631989252,2668.014980392618,3026.727572044207,2916.4999837822056,3004.343566125424,3013.9501670449617,3341.285216966896,3079.740140838212,2840.58965343091,2993.4592379522705,3253.3754340495625,3720.0405790106406,4994.08535249529,5742.583625056983,6028.806410440633,6559.468692594778,7081.381948360837,8201.701337683786,9167.146875024688,9600.599527833005,10361.34880791036,10575.797153666006,11291.47644720442,11473.300838935294,11082.352857361671,10873.404750163503,10613.065878581308,10991.234667413131,11374.605670385225,11783.797197225958,20367.5732702056,21667.448821694023,24041.093318815823,24940.077508607777,25371.92376676143,26781.61959386516,26429.12477876633,26650.29342343032,28602.418186999483,29184.78650879081,30051.84895877555,29392.382441639675,27512.913095008407,27473.100430501963,27090.83768013795,28552.024268315094,27642.74197591786,29137.21756326217,30719.405417468977,30616.53631572844,31875.488174961905,32642.335320345184,33640.336986127826,26178.75376077077,30367.860575770803,34957.16132797368,38231.77448427799,39455.44665485455
A,Annual,BIH,Bosnia and Herzegovina,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.8826217176722,1373.371044729728,1118.1756993407876,929.872118717018,337.09089602325923,502.3659809753391,718.9337971415046,913.8133990548588,1006.7047966982344,1134.602980420834,1338.4805963626086,1387.8936513154358,1606.546722433624,2033.947009358639,2452.686168393919,2739.610768660567,3166.128653448332,3931.489487375052,4841.693119346486,4539.918637749675,4506.478285483886,4982.693757682627,4693.788991153808,5034.566160164685,5206.065582520003,4662.258837240693,4928.566525172796,5345.019854891917,6047.845842611331,6122.375345088199,6130.31133245161,7295.343824095697,7655.594210243828,8663.023229878792,8957.372941882151
A,Annual,BLR,Belarus,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.6409188234345,1805.4559253152693,1658.086412812386,1589.510113436493,1460.0079136045829,1370.6999138566423,1452.5071047645972,1396.657187270599,1511.2597910550733,1210.5874393671952,1276.2803812126876,1244.373185234307,1479.3806633717477,1819.5265311469911,2378.337004701288,3126.0717666524847,3848.2235030016295,4735.481075560663,6376.175691620632,5352.488091906969,6034.67885177216,6527.659342878603,6953.215916831005,7998.0802045456,8341.318092948832,5967.055950587775,5039.775609494454,5785.544919351936,6360.037502312003,6837.773396456351,6542.855799767677,7489.718947138883,7994.648060748886,7896.753882955836,8316.647762915332
